País,Año,Horas,Metrica,Porcentaje_x,Red,Porcentaje_y
Arabia Saudita,,,Motivar compras a través del botón 'Comprar',15.0,WhatsApp,73.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2012.0,2.42,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2012.0,2.42,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2012.0,2.42,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2012.0,2.42,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2012.0,2.42,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2012.0,2.42,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2013.0,2.49,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2013.0,2.49,Seguir marcas que les gustan,45.0,FB Messenger,61.0
