year,age,gender,occupation,stop_daily_activities,social_use,depressed,sleep_issues,source
2022,22,Female,University Student,Yes,More than 5 hours,Sometimes,Yes,Kaggle
2022,23,Female,University Student,Yes,More than 5 hours,Always,Yes,Kaggle
2022,20,Male,University Student,Yes,Between 4 and 5 hours,Most of the time,Yes,Kaggle
2022,48,Female,Salaried Worker,No,Less than an Hour,Never,No,Kaggle
2022,20,Female,University Student,Yes,Between 3 and 4 hours,Sometimes,No,Kaggle
2022,20,Female,University Student,Yes,Between 4 and 5 hours,Always,No,Kaggle
2022,22,Female,University Student,No,More than 5 hours,Most of the time,No,Kaggle
2022,22,Female,University Student,Yes,More than 5 hours,Never,No,Kaggle
2022,20,Female,University Student,Yes,More than 5 hours,Most of the time,No,Kaggle
2022,24,Male,University Student,Yes,Between 2 and 3 hours,Most of the time,Yes,Kaggle
2022,23,Female,University Student,No,More than 5 hours,Most of the time,Yes,Kaggle
2022,20,Female,University Student,Yes,Between 3 and 4 hours,Most of the time,No,Kaggle
2022,16,Male,School Student,Yes,Between 2 and 3 hours,Sometimes,No,Kaggle
2022,50,Female,Salaried Worker,No,Between 2 and 3 hours,Never,Yes,Kaggle
2022,47,Male,Salaried Worker,No,Between 1 and 2 hours,Sometimes,No,Kaggle
2022,24,Male,Salaried Worker,No,Between 2 and 3 hours,Sometimes,Yes,Kaggle
2022,38,Female,Salaried Worker,No,Less than an Hour,Rarely,No,Kaggle
2022,50,Male,Salaried Worker,No,Between 1 and 2 hours,Rarely,No,Kaggle
2022,49,Male,Retired,Yes,Between 4 and 5 hours,Most of the time,Yes,Kaggle
2022,47,Female,Salaried Worker,No,Between 2 and 3 hours,Never,Yes,Kaggle
2022,48,Female,Salaried Worker,No,Between 2 and 3 hours,Never,No,Kaggle
2022,51,Male,Salaried Worker,Yes,Between 1 and 2 hours,Sometimes,No,Kaggle
2022,50,Male,Salaried Worker,Yes,Between 3 and 4 hours,Most of the time,No,Kaggle
2022,47,Female,Salaried Worker,No,Between 3 and 4 hours,Never,No,Kaggle
2022,27,Female,Salaried Worker,Yes,Between 4 and 5 hours,Sometimes,Yes,Kaggle
